categories;score;pass
a;3.67388288956136;0
b;1.5575704164803;0
c;1.80412218905985;0
d;2.03175749164075;0
e;3.00832888111472;0
f;6.8253343552351;0
g;18.4005198674276;1
h;14.1106075746939;1
i;18.2650286704302;1
j;11.7155229533091;1
k;1.77001735195518;0
l;14.726045015268;1
m;4.4072960363701;0
n;17.5364119140431;1
o;2.50064929481596;0
p;13.4257631376386;1
q;15.5903636431322;1
r;14.2858688766137;1
s;7.95445510651916;0
t;5.19868187606335;0
u;15.9131050156429;1
v;1.9126098183915;0
w;12.0121668605134;1
x;4.74736638832837;0
y;6.22538009658456;0
z;3.03274854552001;0
